customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,has_tech_support,has_online_security,num_support_tickets,avg_monthly_usage,churn
CUST-0001,9,76.46,688.14,Month-to-month,Electronic check,1,1,2,92,0
CUST-0002,25,88.75,2218.75,Two Year,Credit card,0,1,2,111,0
CUST-0003,68,81.44,5537.92,One Year,Mailed check,0,0,4,126,0
CUST-0004,49,109.22,5351.78,Month-to-month,Electronic check,0,0,2,126,1
CUST-0005,11,77.99,857.89,Month-to-month,Electronic check,0,1,1,86,1
CUST-0006,53,73.09,3873.77,Month-to-month,Bank transfer,0,0,1,99,0
CUST-0007,54,67.05,3620.7,Month-to-month,Electronic check,1,1,0,123,0
CUST-0008,67,62.76,4204.92,Month-to-month,Bank transfer,1,1,2,83,0
CUST-0009,15,91.68,1375.2,Month-to-month,Electronic check,0,0,0,85,1
CUST-0010,35,46.01,1610.35,One Year,Credit card,0,0,0,110,0
CUST-0011,25,66.51,1662.7500000000002,Month-to-month,Electronic check,0,0,3,105,0
CUST-0012,16,101.45,1623.2,Two Year,Mailed check,0,0,0,70,0
CUST-0013,61,43.07,2627.27,Month-to-month,Electronic check,0,1,0,111,1
CUST-0014,59,44.51,2626.0899999999997,Two Year,Mailed check,0,1,3,105,0
CUST-0015,17,31.71,539.07,Month-to-month,Credit card,0,1,2,114,0
CUST-0016,10,54.79,547.9,Month-to-month,Credit card,1,1,5,118,1
CUST-0017,3,88.09,264.27,Month-to-month,Electronic check,0,1,1,105,1
CUST-0018,28,29.28,819.84,Month-to-month,Mailed check,0,0,3,89,1
CUST-0019,5,99.57,497.84999999999997,Month-to-month,Electronic check,1,1,3,95,1
CUST-0020,32,115.6,3699.2,Two Year,Electronic check,1,0,0,95,0
CUST-0021,2,99.23,198.46,One Year,Electronic check,0,1,1,82,1
CUST-0022,14,54.43,762.02,Month-to-month,Mailed check,0,1,2,111,1
CUST-0023,5,98.48,492.40000000000003,Month-to-month,Electronic check,0,0,0,114,1
CUST-0024,60,45.02,2701.2000000000003,Month-to-month,Mailed check,0,0,1,112,0
CUST-0025,68,79.22,5386.96,Month-to-month,Electronic check,0,1,3,112,1
CUST-0026,8,83.37,666.96,Month-to-month,Credit card,1,1,2,111,0
CUST-0027,50,66.2,3310.0,Month-to-month,Bank transfer,1,1,2,85,0
CUST-0028,48,66.09,3172.32,One Year,Electronic check,1,1,1,143,0
CUST-0029,66,35.22,2324.52,One Year,Electronic check,1,0,1,116,0
CUST-0030,62,58.62,3634.44,Month-to-month,Electronic check,0,1,1,62,1
CUST-0031,15,108.2,1623.0,Month-to-month,Bank transfer,1,1,2,110,0
CUST-0032,56,105.43,5904.08,One Year,Bank transfer,0,1,3,111,0
CUST-0033,72,114.93,8274.960000000001,Month-to-month,Bank transfer,1,0,0,96,0
CUST-0034,3,35.35,106.05000000000001,One Year,Electronic check,0,1,2,100,1
CUST-0035,20,24.34,486.8,Month-to-month,Electronic check,0,0,4,84,1
CUST-0036,64,61.86,3959.04,Two Year,Mailed check,0,1,5,91,0
CUST-0037,54,47.1,2543.4,Month-to-month,Bank transfer,0,0,0,132,0
CUST-0038,28,101.66,2846.48,Two Year,Credit card,0,1,2,80,0
CUST-0039,57,117.99,6725.429999999999,Month-to-month,Electronic check,1,0,1,139,0
CUST-0040,31,116.09,3598.79,One Year,Bank transfer,1,1,1,42,0
CUST-0041,49,77.36,3790.64,Two Year,Electronic check,1,0,3,97,0
CUST-0042,48,99.81,4790.88,Month-to-month,Bank transfer,1,1,1,86,0
CUST-0043,40,71.4,2856.0,Two Year,Mailed check,1,1,1,131,0
CUST-0044,39,37.79,1473.81,Two Year,Credit card,1,1,3,136,0
CUST-0045,45,52.31,2353.9500000000003,Month-to-month,Mailed check,0,1,2,167,0
CUST-0046,19,87.25,1657.75,Month-to-month,Mailed check,1,1,0,105,0
CUST-0047,65,86.85,5645.25,Month-to-month,Bank transfer,0,0,1,83,0
CUST-0048,57,86.5,4930.5,Month-to-month,Electronic check,0,0,0,82,1
CUST-0049,35,92.75,3246.25,Month-to-month,Electronic check,0,0,4,133,1
CUST-0050,54,100.46,5424.839999999999,Two Year,Mailed check,1,1,0,71,0
CUST-0051,18,68.2,1227.6000000000001,Month-to-month,Mailed check,0,1,0,139,0
CUST-0052,14,64.79,907.0600000000001,Month-to-month,Mailed check,0,0,1,40,1
CUST-0053,31,86.47,2680.57,Month-to-month,Credit card,1,1,1,66,0
CUST-0054,18,80.48,1448.64,One Year,Mailed check,1,1,3,114,0
CUST-0055,54,82.44,4451.76,Two Year,Mailed check,1,0,0,30,0
CUST-0056,69,108.63,7495.469999999999,One Year,Electronic check,0,1,3,159,0
CUST-0057,51,93.08,4747.08,Month-to-month,Electronic check,0,0,4,105,1
CUST-0058,54,104.36,5635.44,Month-to-month,Credit card,0,1,2,121,0
CUST-0059,1,118.7,118.7,Month-to-month,Mailed check,1,1,1,110,1
CUST-0060,14,65.17,912.38,Month-to-month,Bank transfer,0,1,1,106,1
CUST-0061,58,100.24,5813.92,Month-to-month,Electronic check,0,1,0,95,0
CUST-0062,4,118.57,474.28,Month-to-month,Mailed check,0,0,2,121,1
CUST-0063,71,114.63,8138.73,One Year,Electronic check,0,1,3,81,0
CUST-0064,4,54.13,216.52,Two Year,Bank transfer,0,1,1,123,0
CUST-0065,11,98.2,1080.2,Month-to-month,Mailed check,1,0,0,59,0
CUST-0066,61,41.31,2519.9100000000003,Two Year,Mailed check,1,1,3,102,0
CUST-0067,4,54.97,219.88,Two Year,Electronic check,0,0,0,77,0
